flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;EAN;PEWNE;1.0;37;5907636994992;3007976;CZYSTEK X60 KAPS.;19.60;8%;2050;5907636994992;Czystek x60 kaps.;publish;21.00;reduced-rate;8%;19.44;-0.16;-0.8%;21.17;-0.17;T
;EAN;PEWNE;1.0;35;5903317643289;4071141;COLLAGEN VEGAN BEAUTY X 60 KAPS.;52.00;8%;1551;5903317643289;Collagen Vegan;publish;56.00;reduced-rate;8%;51.85;-0.15;-0.3%;56.16;-0.16;T
;EAN;PEWNE;1.0;13;5903317643050;3591821;ASHWAGANDHA + GOTU KOLA x60 KAPS..;23.00;8%;2046;5903317643050;Ashwagandha + Gotu Kola x60 kaps.;publish;25.00;reduced-rate;8%;23.15;+0.15;+0.6%;24.84;+0.16;T
;EAN;PEWNE;1.0;104;5907636994381;7038449;VENAL SPRAY NA ZMĘCZONE NOGI, ŻYLAKI 115ml;15.30;23%;199;5907636994381;Venal Spray 115 ml;publish;19.00;standard;23%;15.45;+0.15;+1.0%;18.82;+0.18;T
;NAZWA;NIEPEWNE;1.15;8;5907636994831;7050162;ARCACET PIANKA 100 ML;15.30;23%;97;GV-30;ARCACET pianka 100 ml;publish;19.00;standard;23%;15.45;+0.15;+1.0%;18.82;+0.18;T
;NAZWA;NIEPEWNE;0.525;97;5907636994305;9061704;RABKA SPA MINERALE SPRAY 215 ML;15.60;8%;195;GV-108;RABKA SPA MINERALE spray 200 ml;publish;17.00;reduced-rate;8%;15.74;+0.14;+0.9%;16.85;+0.15;T
;NAZWA;NIEPEWNE;0.883;45;5907636994954;3278661;JARMUŻ x60 kaps.;22.10;8%;61;GV-105;Jarmuż 60 kapsułek;publish;24.00;reduced-rate;8%;22.22;+0.12;+0.6%;23.87;+0.13;T
;EAN;PEWNE;1.0;66;5907636994695;3531821;MAŚĆ PROPOLISOWA 50ML;13.70;23%;161;5907636994695;Maść Propolisowa 10% z witaminami A,E,F 50 ml;publish;17.00;standard;23%;13.82;+0.12;+0.9%;16.85;+0.15;T
;EAN;PEWNE;1.0;14;5907636994763;9059434;AURIX KROPLE DO USZU 35ML;18.40;8%;228;5907636994763;Aurix 35 ml;publish;20.00;reduced-rate;8%;18.52;+0.12;+0.6%;19.87;+0.13;T
;NAZWA;NIEPEWNE;1.121;9;5907636994800;3011451;ARTREVIT X 60 KAPS.;31.60;8%;16;GV-31;ARTREVIT 60 kapsułek;publish;34.00;reduced-rate;8%;31.48;-0.12;-0.4%;34.13;-0.13;T
;NAZWA;NIEPEWNE;1.15;59;5907636994541;3139611;MAŚĆ KASZTANOWA 130 ML;18.00;23%;145;GV-57;Maść Kasztanowa 130 ml;publish;22.00;standard;23%;17.89;-0.11;-0.6%;22.14;-0.14;T
;NAZWA;NIEPEWNE;1.15;120;5907636994466;7030374;ŻEL Z KASZTANOWCEM 200 ML;18.00;23%;212;GV-92;Żel z Kasztanowcem 200 ml;publish;22.00;standard;23%;17.89;-0.11;-0.6%;22.14;-0.14;T
;NAZWA;NIEPEWNE;0.917;18;5907636994145;7056836;BALSAM Z KONOPII 200 ML;19.40;23%;105;GV-37;Balsam z Konopii 5% CBD 200 ml;publish;24.00;standard;23%;19.51;+0.11;+0.6%;23.86;+0.14;T
